WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
ILKAP	188	372	378	770	234	222	185	246	157	199	231	162	144	382	321	413	450	446	495	506	663	450	263	391	1407	267	354
IMMP2L	131	197	147	224	242	181	155	112	80	74	70	59	57	121	107	115	94	123	104	151	139	135	37	74	289	57	100
INKA1	10	288	190	343	34	38	69	42	77	56	44	19	31	131	67	119	202	271	357	148	220	321	15	1	46	38	34
INTS6L	173	581	591	966	310	316	300	343	195	301	327	271	252	457	356	476	612	789	820	1104	1095	758	68	107	157	58	212
INTS9	331	638	578	1089	346	308	242	344	218	228	352	200	235	314	278	335	409	424	628	565	947	600	197	255	486	274	206
IP6K3	4	97	71	536	0	1	0	2	0	0	1	0	2	1	1	0	0	3	8	189	137	1	6	0	34	0	0
IPO9	3158	5135	4650	7506	3626	2911	2578	3122	1825	2433	3338	1883	2148	3599	2829	3388	4433	4572	6030	5025	6451	6364	1303	1594	3647	1801	2175
IQGAP3	826	1632	1475	4201	1062	716	602	622	314	417	795	445	335	306	291	284	658	666	801	863	1263	1258	410	197	529	168	913
ITGA6	4312	2085	2134	2028	7566	5204	3477	5703	2899	3312	12893	8243	9673	8672	7310	10459	4473	9423	2887	7825	5702	2858	31582	29051	19422	1825	1956
ITGA9	257	2353	1726	3603	335	154	166	55	28	46	42	28	74	379	252	416	1928	1058	1660	1851	3245	1499	22	29	351	72	17
ITGB8	243	401	133	151	2013	1626	1028	2253	1220	1106	6202	4222	4713	6605	7376	10822	4417	8205	1136	4973	2195	1315	12820	19832	27839	784	1694
ITIH4	17	123	179	255	67	37	28	67	44	51	67	41	39	65	49	34	55	74	130	83	150	72	34	54	104	17	11
ITPKB	132	645	380	566	703	573	543	486	280	321	487	275	282	801	744	801	1207	991	1011	799	530	975	1044	2326	18538	204	187
JAKMIP2	494	1511	1312	2932	1146	858	843	987	649	678	991	572	639	642	501	668	614	733	849	1148	2210	982	873	637	489	44	73
JRK	698	965	1158	1947	676	602	508	768	563	573	743	409	454	876	697	863	1004	1212	1633	1156	1402	1351	412	371	927	482	376
JUN	127	5682	3820	3196	1708	1468	945	1686	1394	1245	2068	1245	1530	3291	2706	3877	3950	3982	2951	2393	2303	2447	1924	1562	2076	3154	3233
KAT2B	47	319	281	222	397	233	156	288	174	186	487	344	384	772	704	1022	475	632	1307	699	2404	806	723	957	2181	360	445
KATNAL1	314	835	893	1178	1473	1304	1190	1654	1012	1186	2036	1350	1366	2336	1837	2799	1865	1887	1404	1345	1252	1508	794	861	1629	2476	1658
KBTBD11	261	1270	951	2226	253	201	148	93	93	72	116	68	88	101	88	79	111	447	975	623	1123	225	50	62	24	15	122
KCNA2	7	220	138	289	92	86	16	215	132	120	490	308	327	526	312	547	681	565	280	305	508	302	1170	1304	71	56	72
KCNC1	8	44	56	107	11	9	6	5	5	3	5	8	8	7	0	5	3	9	5	13	5	11	5	6	7	5	4
KCND3	4	0	0	0	4	2	8	24	41	32	379	191	180	201	157	228	147	198	2	9	3	1	182	82	78	210	122
KCNF1	10	9	2	26	5	1	4	2	10	4	47	38	75	6	18	15	17	39	57	42	15	11	503	1398	331	0	4
KCNJ12	50	577	485	804	41	53	30	31	30	23	14	12	10	37	20	33	10	43	26	232	128	13	9	33	91	146	43
KCNJ8	23	113	157	267	16	28	35	13	19	28	15	17	27	35	33	31	28	10	7	6	16	52	0	0	2148	84	90
KCTD12	324	1052	809	1153	842	380	421	526	432	502	1155	739	796	2539	1644	2377	2631	4413	11126	3277	9427	5925	4047	3498	2893	4189	1224
KDM4D	30	105	76	188	27	27	20	24	4	11	17	8	13	31	29	26	43	65	91	93	129	68	10	7	57	13	21
KIAA0586	774	1347	1389	3433	724	603	627	590	413	476	655	394	411	669	646	702	769	879	1166	1131	1515	1133	366	525	1059	594	610
KIAA0895	17	376	449	773	231	190	145	179	92	152	108	77	97	75	82	70	108	215	149	294	271	135	137	186	132	15	32
KIAA1549	703	1574	1205	2266	623	511	443	490	209	362	320	202	163	322	283	399	841	796	1438	1506	1712	1492	118	304	260	143	192
KIAA1614	96	185	173	324	89	70	58	95	76	61	84	50	55	357	252	220	309	403	280	186	176	383	55	52	214	146	253
KIF24	202	400	376	780	250	150	145	129	86	103	159	113	102	152	126	192	266	304	475	863	727	432	84	53	159	65	177
KIF5B	3629	5538	5027	9734	10579	9213	8304	8695	5885	6609	9273	5477	5252	11694	9943	14112	11192	12227	10071	13638	13202	10286	7657	11670	12731	12171	9255
KIRREL3	12	43	36	80	219	256	151	1201	1012	658	2789	1551	1791	1059	555	994	906	1414	70	295	83	202	150	584	653	430	358
KLF3	422	1886	1320	2969	1059	951	797	801	611	714	864	501	482	1731	1670	2235	1663	2068	1701	1373	1040	1300	383	399	1059	893	1103
KLF9	24	17	26	17	104	99	78	208	198	250	525	373	460	3042	3521	4430	1559	493	318	682	1372	437	3458	2815	4123	1113	1626
KLHL41	0	136	225	1333	1	4	7	13	3	5	9	9	11	26	31	27	25	82	182	15182	9325	67	13	17	188	10	10
KNL1	1532	2362	2635	7294	1265	941	980	913	391	534	977	633	537	606	572	788	1415	1474	2155	2013	3029	2385	541	199	999	226	1329
LAMA2	404	20	40	20	47	34	39	126	107	100	882	559	647	4121	4310	3838	4113	1159	1234	270	401	625	15719	52781	8399	4406	2222
LAPTM5	3	153	109	233	24	30	17	11	6	19	19	9	6	13	12	21	11	162	247	54	164	34	0	32	2	5	51
LBR	2030	3458	3682	6850	1836	1749	1407	1516	904	1155	1399	846	894	1359	1076	1831	2073	2173	2683	2549	3917	2788	784	920	777	185	785
LDAH	409	857	933	1575	466	388	326	384	299	241	375	237	262	453	339	459	484	496	691	867	1251	665	554	870	979	225	402
LDLRAP1	303	595	509	1040	464	398	237	446	329	424	908	470	479	908	741	934	594	891	408	390	370	353	401	618	1132	538	544
LGI4	73	425	238	435	783	475	192	523	351	341	1264	668	776	670	419	523	516	318	736	1519	3165	700	3411	2811	433	35	79
LGR5	4	4	0	2	12	51	44	139	261	322	72	39	34	36	41	97	84	19	33	30	27	185	0	0	0	13	2
LIN52	243	530	538	938	356	290	295	270	184	225	230	148	184	304	295	397	403	401	488	519	532	508	262	237	479	169	255
LINC00461	9	874	245	269	168	58	46	14	4	11	28	15	30	1	8	3	11	67	63	37	133	68	21	330	162	0	52
LINC00472	110	324	284	286	790	577	620	469	227	319	359	194	224	582	376	622	404	922	915	795	704	572	1005	690	729	205	174
LINC01686	1	31	13	84	2	5	4	4	1	7	4	0	5	13	5	13	23	21	15	21	12	20	0	0	1	2	8
LINC02249	18	259	263	274	93	59	74	81	32	65	65	53	53	18	7	18	25	79	187	189	215	74	0	0	4	0	0
LINC02381	1	472	426	538	195	197	186	164	119	135	141	69	86	199	163	159	193	94	1	120	325	233	194	166	370	239	76
LINC02609	4	26	44	79	6	9	11	8	17	10	10	3	9	18	27	12	20	10	8	30	35	40	14	19	51	11	9
LINC02735	0	0	1	0	10	2	3	34	42	44	173	144	236	544	402	621	330	42	67	100	106	303	0	9	593	22	4
LMO4	915	1692	1288	2605	829	723	594	815	550	579	868	536	645	2486	2424	3050	3975	2594	2027	2487	3739	7122	328	301	1872	1107	1545
LMOD3	1	43	66	278	10	3	2	9	9	1	7	2	3	6	8	15	3	16	13	1140	691	12	5	3	12	7	2
LOC100289511	24	162	93	239	46	22	15	16	20	8	53	19	27	146	64	38	99	51	53	62	46	89	38	26	71	24	84
LOC101926964	2	50	97	104	12	12	17	12	6	0	31	15	14	28	19	35	18	99	224	119	387	151	35	39	2	0	3
LOC101929479	436	743	866	1652	324	325	197	292	204	250	275	169	142	166	188	199	286	342	694	482	729	496	96	84	353	63	93
LOC107985770	13	227	90	78	17	15	21	23	16	13	22	14	13	45	40	42	29	44	25	30	32	21	0	7	62	21	29
LOC284581	80	175	177	313	82	80	67	78	53	81	99	62	68	109	122	128	139	129	177	4	3	164	56	0	175	89	5
LOC389906	188	529	541	793	354	315	216	323	240	219	327	175	227	233	135	209	189	423	591	614	704	273	53	324	354	65	228
LOC644656	32	159	104	219	30	24	24	34	29	24	56	35	36	75	42	43	63	39	55	71	94	82	19	29	78	18	29
LOC730101	131	582	591	1065	281	216	204	205	139	107	209	137	192	267	194	339	597	158	18	999	1505	791	273	378	426	157	228
LOXL3	273	860	795	898	2189	2018	1183	2755	2112	2245	5181	2835	3414	2632	2301	2994	2430	2805	1746	1957	2661	2381	3397	4038	2935	6932	1726
LPAR1	63	288	267	363	175	155	78	151	72	111	346	242	193	1857	2187	2994	2407	2441	2575	1658	1484	2121	1765	2190	2346	880	606
LPAR6	46	806	721	2251	338	314	273	302	209	211	315	217	228	441	344	425	628	517	749	539	1138	1073	132	133	480	54	147
LPIN1	243	1908	1479	2290	904	820	704	984	636	816	1077	636	682	941	758	1120	1064	1210	795	808	802	823	831	1285	1917	915	630
LRCH3	968	1437	1239	2280	1946	1545	1375	1997	1238	1439	2522	1476	1903	1689	1301	1922	1945	1894	2818	1834	2608	3014	2096	3145	2533	910	999
LRIG3	177	913	787	1144	6478	6227	4116	3263	2258	2314	1618	970	673	2297	1551	1336	2706	2166	2228	2829	1261	2595	128	74	273	197	505
LRP4	855	1696	1635	2209	257	230	232	241	130	185	203	91	102	741	760	778	1115	1252	1538	745	632	1318	121	65	951	93	674
LRRC4	153	618	612	533	116	55	52	56	53	39	40	31	41	54	35	42	63	66	598	184	346	219	127	154	338	36	53
LRRC4B	135	519	418	722	295	193	105	177	108	108	227	87	79	167	91	117	224	817	1152	617	766	787	0	3	5	3	1
LRRC58	1100	2305	2223	2693	1158	934	974	1157	773	927	1248	835	817	1920	1803	2880	1700	2433	2834	2263	3053	2382	1873	2727	3594	1388	1581
LRRC8C	117	806	744	779	271	207	380	259	121	175	225	131	193	467	519	691	892	1096	741	498	832	622	596	749	604	124	476
LRRK2	1	225	191	217	10	12	4	1	3	1	9	8	8	147	240	162	58	56	40	19	16	28	396	63	560	85	60
LRRN3	67	355	229	192	399	268	387	172	87	134	53	55	50	361	293	479	427	607	460	887	449	618	15	22	109	466	145
LRRN4CL	3	54	43	201	10	8	9	7	5	4	1	2	11	40	54	36	79	64	66	85	90	116	0	0	9	291	10
LSS	1626	5661	4152	6548	1686	2017	1427	2275	1746	2198	2093	909	750	1525	1241	1768	1942	2265	1420	1224	1022	1481	533	494	2212	1656	1027
LTBP1	800	704	726	1078	3085	3621	3786	6412	5890	6672	5723	3134	2166	7870	10121	9286	5465	2798	736	649	363	1263	566	584	11750	3080	3602
LUC7L2	682	1455	1159	2523	987	857	702	969	609	642	991	552	546	1810	1586	2046	2329	2466	2571	2146	2447	2357	446	626	1493	1316	1226
LYPD6	228	323	288	488	521	298	367	268	144	315	792	439	450	28	24	29	75	135	275	138	328	538	60	17	79	36	162
LYST	9	412	543	759	1163	981	900	1968	1305	1206	2920	2173	2298	3975	3623	5539	3780	2540	1296	1484	1237	2238	1619	2338	11295	907	894
MACROH2A2	124	1984	1534	4142	801	675	476	596	370	518	509	303	230	577	506	511	1289	1291	1859	1199	1810	1546	4	2	87	221	318
MAN1C1	173	413	617	1258	123	83	74	145	103	106	283	188	200	318	247	299	252	625	259	215	146	159	56	271	175	34	69
MAN2A2	256	1056	950	1333	1669	1225	964	1519	950	1213	2377	1102	1617	1367	1040	1510	1391	1413	2538	1886	2428	2153	3074	2970	2761	660	568
MAP4K4	3241	9466	7018	15515	14741	9678	7569	8714	5235	6327	9771	5166	5266	19426	15538	21026	17862	14636	15567	11837	13042	13502	8146	6731	10314	11293	10551
MAPK10	32	181	135	253	17	32	42	64	20	24	63	42	33	71	68	85	91	109	327	141	201	224	50	62	87	11	32
MAPRE2	716	1344	1035	2141	822	724	635	807	558	672	887	452	502	1092	896	1078	1048	1385	1567	791	1279	1241	333	448	905	624	521
MARCKS	2134	8678	7448	17369	9971	7276	6766	8493	6329	7373	12903	8044	7981	14751	11197	12757	14732	16996	17957	15404	18005	19955	15263	12212	11852	9581	11879
MBNL3	144	595	439	431	171	106	123	109	27	69	63	29	39	295	244	399	729	833	1239	1922	2353	2882	324	123	154	48	139
MCC	774	1737	1540	3129	812	586	565	792	557	622	1016	539	606	2252	1984	2441	2910	1702	1806	1751	2163	2241	1016	1098	2587	818	730
MCF2L	323	1140	727	1118	427	252	188	197	98	161	260	108	135	81	55	42	133	297	1252	470	1014	718	2	6	18	183	6
MDGA1	17	757	638	939	231	177	134	235	175	200	242	113	151	593	576	629	876	661	647	294	145	555	146	143	1902	755	322
MDGA2	16	379	332	199	80	47	51	63	41	46	84	81	75	119	101	115	115	122	653	452	759	612	32	25	222	248	1
MDK	1127	4716	3872	9161	842	595	552	448	326	349	350	229	201	1171	835	1005	2179	2416	3469	1960	2230	2020	39	58	68	36	159
MECOM	9	625	379	1172	150	106	150	147	100	150	113	47	44	136	121	110	184	1406	2763	218	308	982	1	0	4	0	29
MED12	859	1880	1506	3003	1190	963	708	1195	711	838	1251	577	707	1316	943	1189	1613	1704	2446	1779	1896	2171	548	667	1080	627	623
MEF2C	15	2989	3223	5118	2723	2152	1776	3016	1815	1813	4065	2695	3136	1639	1308	1668	1315	2183	2886	15335	15511	4601	842	660	1018	152	349
MEGF10	1258	6967	9011	4231	1230	598	745	616	406	456	298	206	193	1011	541	932	3044	1496	6491	7919	11963	8071	5	4	146	0	5
MEOX1	0	419	154	508	15	9	12	7	8	5	12	15	14	47	30	79	700	174	173	517	108	1632	0	0	3	0	21
MEOX2	34	189	139	340	16	29	36	68	43	92	65	31	51	261	213	302	1798	436	244	353	345	2456	0	0	1	327	19
MERTK	174	225	182	634	120	108	96	152	121	102	293	195	374	432	272	520	1053	1131	1973	795	388	1592	2706	4795	12496	3	7
MFSD6	164	68	69	76	220	110	96	147	94	111	425	285	367	575	485	737	401	283	120	198	257	258	1388	1630	1251	459	194
MGAT3	255	675	582	747	189	226	147	174	110	183	73	37	39	202	122	281	511	582	617	453	566	854	497	893	84	2	2
MGC16025	13	370	121	82	63	26	26	31	7	26	61	25	22	22	17	27	20	17	35	24	37	30	151	136	97	2	10
MGLL	8	891	818	1466	294	522	166	94	59	88	91	23	13	97	190	443	178	267	44	142	46	35	211	203	497	3565	839
MGP	0	3	4	4	236	231	185	776	602	729	344	390	372	15468	13074	12392	25612	14745	3121	2252	65	12455	3	1	125	143	31
MIA	0	153	56	288	279	312	188	251	310	195	612	350	480	1040	566	849	624	967	1153	528	798	926	751	639	484	33	144
MINDY1	104	176	165	335	167	156	107	172	115	134	327	159	267	298	285	279	223	272	361	190	352	246	1593	2343	842	121	116
MMAB	233	627	643	1209	225	293	201	291	246	273	348	208	168	292	290	296	332	375	189	390	522	248	563	668	624	187	284
MMRN1	0	522	476	474	4	3	3	3	3	0	0	0	0	7	4	5	6	131	599	7	20	15	0	0	1	0	0
MN1	70	515	204	612	510	535	379	894	750	718	681	317	209	1004	879	733	1383	1787	1537	850	186	1600	0	1	36	510	636
MOCS1	348	465	454	808	429	633	473	336	258	336	352	208	228	259	202	260	197	313	370	232	229	322	255	358	654	225	299
MPHOSPH9	993	1588	1708	3928	874	759	684	820	496	561	821	520	570	838	808	947	973	1128	1460	1585	1958	1412	669	651	1292	579	749
MRPL40	148	288	293	726	164	190	145	201	157	170	206	138	154	485	442	414	387	382	294	385	444	285	284	408	921	428	428
MSH5	89	269	341	438	115	68	51	70	62	54	71	61	26	95	94	107	109	104	98	173	227	174	101	68	242	53	78
MSI1	264	598	626	1417	269	193	154	203	133	94	181	84	108	75	55	85	204	140	423	353	698	344	11	98	17	2	1
MSTN	0	63	75	604	12	9	1	3	1	3	11	8	11	12	9	14	10	3	15	161	544	10	12	3	9	61	22
MT2A	59	1103	463	637	97	147	72	84	99	75	154	89	57	630	947	1716	831	270	977	142	92	112	661	541	1313	3079	1992
MTBP	245	429	413	843	210	152	133	169	95	111	145	104	123	185	162	187	280	312	479	451	560	479	54	87	222	80	197
MTCH2	1248	1843	1788	3717	1247	1130	1070	971	765	926	1069	664	648	1703	1468	1786	1944	2080	2010	1797	1987	1894	1057	1703	2735	1970	1405
MTMR4	939	2361	2347	4848	1235	1055	973	1093	624	859	1005	562	582	1288	1009	1005	1259	1954	2071	3244	3802	2098	720	1250	2589	547	1053
MTMR9LP	81	149	110	260	125	128	69	206	136	160	435	217	292	697	451	544	444	383	179	134	74	155	25	16	210	41	63
MTR	1417	2978	2737	4635	1793	1338	1249	1608	941	1206	1892	1081	1220	2835	2421	2966	2466	3664	4185	3667	6208	3270	2573	2456	4321	2135	2317
MTSS1	134	1240	1117	1290	110	110	118	68	45	52	70	52	59	626	560	651	690	187	415	893	1470	663	24	38	272	63	59
MUSTN1	14	95	127	320	4	8	11	10	10	4	9	4	8	16	3	5	17	12	15	66	106	20	6	5	0	2	8
MXRA8	86	106	116	220	216	348	240	396	408	460	285	218	140	4202	4946	3689	2675	3818	1292	915	455	607	874	1364	898	6296	4053
MYH15	10	80	46	377	11	15	10	12	6	13	9	3	6	162	279	62	160	19	59	17	32	26	17	2	23	260	33
MYLK-AS1	5	43	30	96	6	5	1	8	7	10	8	5	4	14	9	4	8	9	17	26	34	28	5	28	11	15	21
MYO10	3794	8745	8468	10853	5390	4700	3777	5207	2921	3679	5651	3096	3055	6312	5029	6835	5487	5469	4951	4964	8105	6929	1195	630	5735	4393	3788
MYO7A	37	175	176	348	18	9	6	19	2	8	7	5	16	9	8	14	8	19	81	98	186	38	73	80	65	3	2
MYOT	4	2	6	3	26	17	8	36	16	24	83	44	69	30	16	25	16	24	25	777	978	15	7	0	3	1	12
NAA40	499	935	920	1560	619	569	462	581	367	497	634	333	404	548	450	527	689	826	989	968	1150	1021	279	337	541	319	367
NAALAD2	150	579	530	711	110	71	69	112	77	129	55	66	58	92	60	74	97	68	203	166	445	254	38	27	68	15	22
NAIP	247	1093	1230	1658	542	500	514	616	402	451	634	471	467	767	559	696	1037	1026	1249	1016	1131	1507	343	433	626	303	423
NBPF1	691	2169	2282	4703	3341	2552	2488	3609	2217	2628	4653	2748	2899	3003	2200	2933	2848	5605	7081	1906	1704	3665	1006	735	2044	1177	1101
NCALD	48	1572	1117	2772	345	410	303	306	337	270	174	126	116	517	353	266	430	629	865	1584	2543	519	273	187	1044	69	70
NCK2	755	1377	994	2066	2492	1864	1308	1608	1061	1121	1678	843	942	1538	1158	1563	2345	2039	2454	2704	3040	2987	1453	1607	3119	435	784
NCR3LG1	79	787	682	964	161	124	119	240	165	124	223	139	109	430	512	768	542	297	583	374	366	623	158	329	194	149	149
NEFL	357	460	568	1253	609	303	182	493	316	249	1284	819	1111	507	552	452	800	1629	741	2116	1561	690	19	174	539	11	26
NEMP2	144	162	155	268	150	145	99	159	109	94	224	142	148	234	193	201	240	146	210	245	388	313	191	186	245	88	144
NETO2	303	2241	2608	2403	925	708	564	371	231	259	234	130	127	302	422	646	722	901	1822	1247	2598	1129	313	1402	859	23	1037
NFATC3	939	1943	1584	3025	1076	930	799	1085	690	865	1098	590	708	1497	1156	1429	1703	1416	1891	1711	1860	1930	734	820	1322	895	831
NFIA	45	116	156	310	345	363	467	661	499	716	508	303	226	2396	1559	1650	2113	4817	4225	1738	1384	4151	156	103	201	1074	101
NFIL3	175	511	359	832	518	484	543	837	681	547	1665	1197	1575	776	748	1048	690	616	500	820	590	392	154	515	983	769	778
NFIX	12	0	2	0	31	26	27	121	111	180	613	310	344	1899	1909	1931	1483	1514	436	177	13	723	376	207	875	2625	1323
NFRKB	716	1468	1281	2168	619	544	470	534	392	440	504	281	280	631	456	683	904	1017	1453	1159	1324	1195	352	591	1143	453	389
NFYA	626	1416	1583	3010	963	952	768	1128	703	825	1061	685	740	1020	902	1299	1868	1523	1841	1613	1912	2467	570	946	1532	505	687
NID2	148	6587	4078	4108	721	426	373	776	431	500	1575	803	890	6324	5212	5024	5924	7053	9173	2382	4064	5488	1847	1180	1593	1359	2702
NIT2	304	604	651	1136	424	374	312	380	291	291	414	308	271	877	828	1011	888	748	777	710	1013	692	476	627	1234	618	562
NKD1	126	1176	1875	7750	119	233	291	137	73	135	25	12	15	119	107	100	246	996	3126	275	237	217	5555	11131	2168	5	42
NLGN2	531	1377	1332	1837	540	595	395	716	501	593	782	341	390	788	588	735	1134	949	1096	848	870	1386	241	320	553	326	315
NLRP14	5	59	28	110	3	1	0	0	0	2	1	2	2	2	1	2	4	4	10	7	8	2	0	0	2	2	1
NONO	8496	13094	13456	28626	7049	6520	5145	6222	4568	5124	6645	3526	3922	8742	7341	8853	12078	11846	18673	12725	15887	16142	3921	6278	10350	5235	5480
NOS3	46	303	217	232	4	1	0	2	4	2	0	2	0	10	10	12	8	12	22	63	180	21	0	2	12	5	7
NPL	38	243	247	256	52	114	78	64	54	51	79	32	36	144	122	166	156	201	202	101	215	232	39	55	630	19	66
NQO1	483	9979	6013	7447	811	1331	1691	1884	1072	1961	2143	1379	1536	4054	3701	5829	4056	3252	9047	1951	2439	4157	3356	4650	9534	2404	3597
NR2F1	1	5749	4186	11517	625	466	335	462	327	344	351	220	189	735	640	1052	1658	2148	4247	1533	2069	1204	1119	801	324	289	272
NR2F1-AS1	15	598	471	852	267	197	196	170	156	136	188	158	108	512	424	535	638	669	697	435	523	443	615	488	231	325	460
NR2F2	1	1232	1054	1162	316	200	198	305	221	291	385	250	211	1042	835	917	1748	1970	1736	2557	2533	2901	834	999	707	1375	287
NR2F2-AS1	0	97	84	81	17	18	2	19	18	32	40	26	17	47	48	26	54	65	90	115	198	125	63	43	40	30	18
NR3C1	137	522	394	570	1181	1116	1156	1643	1189	1185	2198	1409	1497	5300	5081	6640	5212	5299	4136	2705	1635	4242	1260	909	2971	4112	3194
NRG3	78	0	0	0	46	56	63	243	131	108	109	68	50	18	8	8	19	4	5	0	0	6	0	0	360	0	2
NRGN	2	54	52	191	36	24	18	31	8	13	23	13	9	31	27	42	99	132	192	97	86	255	18	16	27	4	11
NSD2	2325	6443	6011	11869	2585	1873	1532	1927	1040	1288	2000	1156	1113	1808	1572	1895	3081	3325	4620	5090	5858	4554	1249	1037	1610	1047	2747
NSDHL	335	782	568	1191	273	358	254	371	267	345	371	206	155	302	289	389	417	320	256	362	375	249	312	456	634	335	298
NT5C3B	538	986	867	1834	595	563	402	513	432	450	514	304	383	687	601	665	896	876	1052	950	1151	1065	337	421	793	541	518
NTRK1	1	46	39	92	1	1	0	5	1	0	3	1	0	71	50	53	247	212	202	230	50	188	0	6	60	0	0
OBI1	441	915	968	1797	591	526	439	500	321	372	485	339	338	559	550	868	806	908	1121	1130	1193	1038	260	342	803	474	524
OBSCN	1173	6212	4937	6801	1433	868	786	1317	668	787	1414	608	795	951	578	611	2060	2729	4347	7964	6638	4195	45	284	570	61	214
ODC1	1249	4069	3525	12323	1072	856	619	594	565	514	471	359	313	716	668	671	1104	1344	1959	3705	1879	1241	631	1616	1537	2129	1588
OTUD3	562	739	919	1404	854	863	946	674	459	487	630	346	435	796	644	950	1125	1180	1368	1270	1357	1242	278	425	720	589	341
P2RX7	17	35	20	23	6	1	0	5	5	11	103	83	64	267	207	449	320	154	68	120	331	387	181	227	397	27	51
PANTR1	0	5	6	96	0	2	0	2	3	0	1	0	0	2	7	8	0	44	106	0	0	4	0	0	5	7	11
PARD3	1404	2304	2476	3836	1662	1447	1217	1297	823	999	1442	790	969	2017	1539	1827	2391	2292	3477	3191	4417	3301	820	1040	1546	1143	1104
PARP16	59	227	146	395	90	94	68	79	82	86	110	70	52	137	112	131	181	207	239	187	218	237	65	60	139	93	63
PARP9	44	68	33	62	79	63	54	121	64	85	197	143	193	550	581	473	323	572	67	358	176	86	545	469	3150	333	336
PAX3	0	160	538	1148	57	141	139	42	47	97	56	40	60	592	470	644	293	391	434	718	228	23	1210	1285	1989	98	361
PBK	146	672	647	1882	303	274	277	205	82	119	239	132	117	78	115	115	175	204	255	474	1085	359	329	117	420	87	575
PC	390	875	698	1159	388	319	230	364	324	379	491	176	267	579	534	512	569	558	568	926	583	487	634	854	1257	317	205
PCDH15	5	116	51	542	11	10	39	3	3	7	12	1	3	4	0	3	15	47	157	427	606	31	0	0	2	0	0
PCDH20	105	33	11	36	166	106	82	885	875	595	6021	4165	4288	1439	872	1197	1108	854	228	260	60	370	206	226	312	28	162
PCLO	190	334	340	659	110	98	81	129	58	100	107	78	72	30	28	18	63	164	320	141	183	228	3	0	102	16	1
PCM1	3260	5398	4690	11422	4053	3164	2987	3503	2024	2409	3820	2355	2498	5677	4810	6493	8414	8153	9154	9664	10210	9660	2474	3112	6044	2811	3125
PCSK2	13	3	2	16	22	15	9	37	18	35	109	57	70	8	3	4	15	7	4	1	0	41	0	1	141	3	0
PCSK6	59	584	507	832	73	57	49	58	31	29	27	11	23	57	33	63	96	537	587	317	431	404	9	3	505	10	3
PCTP	196	494	478	1224	191	211	175	186	175	193	182	134	105	260	223	306	263	394	440	747	1278	325	176	435	470	144	221
PCYT2	476	1267	976	1919	507	571	370	740	463	624	662	313	337	459	352	430	511	526	400	419	437	306	1017	905	1462	575	375
PDE4D	105	930	801	893	5380	3782	3491	2266	1388	1497	1393	762	714	1766	2202	2284	1815	1818	2545	2048	1384	991	3889	4053	7202	205	576
PDGFB	84	15	8	1	75	23	48	42	16	48	442	201	206	179	117	156	185	738	17	77	57	2	28	6	2	98	281
PDLIM4	86	559	447	1076	1034	864	521	1230	1096	856	2079	1187	1557	1429	1517	1701	1785	2099	1138	1604	1106	1321	3519	4314	5238	791	1004
PEAR1	9	857	749	617	269	295	268	161	89	199	139	71	41	507	351	324	726	1301	1682	596	313	1248	0	3	56	1417	207
PEG10	1918	8769	6266	17157	1388	1129	1527	1340	705	1289	1402	744	683	2242	1765	3766	13228	12870	9943	52134	28924	23352	2186	1225	6029	1330	795
PGAP1	1406	3097	3012	3562	1421	1184	1201	1268	663	878	1145	819	838	1744	1388	1719	2458	2943	3940	3219	2858	4324	798	1115	3097	362	462
PGD	3533	5646	4818	9880	3054	3231	2417	3347	2254	3006	3554	1920	2140	4215	3732	5266	6189	5617	9101	5024	4796	6484	3302	5983	6768	1609	1941
PHF6	1495	4296	3832	8985	1585	1435	1333	1311	731	945	1133	782	818	1310	1118	1418	1632	1746	2733	4536	6046	2663	800	1120	1572	818	920
PHKB	725	1765	1766	2549	917	872	807	702	543	707	755	470	459	1176	1084	1024	1112	1128	1307	1069	1576	1171	848	807	908	1451	859
PI4KAP2	224	659	714	1180	507	442	310	459	302	322	516	269	336	594	453	466	696	688	1106	404	345	880	173	88	451	187	139
PIAS1	603	1279	1137	2024	779	714	611	817	610	666	760	504	469	1150	944	1204	1525	1488	1893	1645	1526	1855	559	687	1025	649	671
PICALM	1211	3094	2725	4108	5046	4668	4397	3276	2567	3091	3294	2065	1847	7186	6352	8542	6811	6912	5334	3989	3948	5491	3498	4316	5780	13385	6116
PIK3C3	655	790	671	1341	1233	1153	937	980	633	785	977	630	661	1625	1428	1929	1805	1650	1875	1505	1688	2080	740	1216	2201	1873	1398
PIK3R1	225	3028	3039	7439	1858	1350	1135	1350	773	947	1552	980	1107	2063	1842	2457	2794	2667	4449	4517	5146	2944	1729	1329	3589	711	695
PIK3R3	390	2074	1971	5510	1029	1003	869	1059	777	970	788	468	435	689	661	1202	1976	1257	2440	1123	1701	2568	296	637	1130	311	124
PIR	191	535	443	864	95	121	128	156	127	117	160	112	108	512	373	485	457	259	580	337	424	394	617	852	2543	82	76
PKNOX2	17	703	549	839	1144	913	649	1104	748	842	1646	913	1127	1110	796	890	558	1261	1299	846	864	855	223	221	957	213	276
