WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
BCL9	362	1118	1108	1598	851	565	454	606	423	482	717	379	432	528	389	513	712	786	1293	1038	1130	1055	282	383	444	114	182
BCORL1	51	783	787	827	169	151	188	192	132	146	220	92	110	210	174	241	344	253	456	492	670	421	323	310	311	184	77
BICD1	577	628	749	568	1361	921	718	1042	646	735	1627	1157	1231	999	746	1186	996	939	868	930	885	895	3452	4166	1516	481	543
BIN1	289	1171	902	1996	470	492	332	580	453	514	658	328	326	1132	1092	1477	1591	1449	1391	5843	3839	1487	622	2101	1373	551	897
BIRC2	634	1354	1168	2210	3607	2660	2663	2302	1489	1728	2173	1355	1356	3200	2729	3682	2474	3408	2070	2124	2033	2504	1907	1865	2176	2990	2632
BLMH	947	1492	1542	3155	725	770	611	669	537	600	713	390	411	1185	1029	1268	1626	1498	1885	1421	1465	1481	614	807	1117	574	691
BMP5	4	139	202	421	278	419	465	170	108	156	31	34	29	320	221	337	1109	2853	2357	1258	572	1475	0	0	0	1	0
BMP7	192	921	468	1826	3	4	0	0	0	1	1	0	0	119	90	131	491	501	662	164	6	112	0	0	16	0	0
BOC	76	357	299	329	70	112	106	98	85	93	78	56	37	1105	776	822	5101	3031	2757	1748	187	2264	17	7	776	279	411
BTBD2	967	2060	1549	2820	984	801	579	908	820	729	1193	557	675	1357	1054	1074	1596	1604	1957	1399	1511	1635	744	914	1571	771	628
BTBD3	1222	4443	4816	6055	2248	1959	1763	2039	1357	1377	1631	966	1056	2123	1656	2475	2637	3093	3905	3762	4218	4285	645	496	853	789	958
BTG1	472	2763	1641	2412	1721	1281	914	1025	908	949	2604	1490	1938	2884	2295	2916	2635	2779	4140	5960	4755	4699	1457	4136	4102	728	1608
BTG2	60	789	408	875	218	351	190	275	230	251	262	154	213	226	137	234	230	317	494	1161	820	240	10	26	177	113	63
BTN2A2	208	422	407	929	265	237	127	151	123	128	224	128	128	380	335	443	352	424	535	377	416	419	163	155	783	161	105
BTN3A2	127	330	374	661	53	51	70	78	60	75	138	92	75	854	692	710	506	529	311	350	373	220	364	341	947	308	289
BZW2	1367	2585	2687	4904	1654	1209	893	860	668	734	1042	584	609	1137	1099	1266	2046	2207	2717	2492	4722	2634	3657	8786	2263	1150	1700
C10orf90	1	107	47	23	4	8	11	2	0	0	3	3	0	119	245	246	92	65	16	96	351	181	768	1303	2282	26	95
C12orf57	575	1235	899	2307	501	510	388	547	444	494	677	303	423	1717	1326	1256	1603	1404	1637	910	905	1218	688	667	1107	905	1101
C2orf72	20	246	201	138	46	24	8	38	17	13	68	28	49	7	13	18	13	17	39	75	101	31	1	18	73	3	11
C3orf52	258	749	971	867	184	192	115	79	40	65	80	64	39	185	175	298	248	238	170	356	365	93	83	112	99	138	132
CALM3	2415	4930	4390	11326	1942	1896	1482	1639	1432	1414	1756	933	879	3556	2750	2810	4650	4302	4975	4276	5359	5007	1566	1830	3707	3483	2460
CAMK2A	2	106	126	513	6	12	1	11	8	22	17	10	3	182	140	123	109	70	9	537	408	15	41	3	44	0	77
CAMK2N1	25	86	91	193	37	11	19	3	7	9	7	6	8	185	186	231	135	518	183	229	310	43	15	18	149	110	138
CAMKK2	526	940	828	1664	627	568	431	606	473	488	717	431	439	1091	937	1090	1025	1172	859	945	927	897	365	404	1253	914	753
CBX1	2323	3583	3328	8768	1977	1791	1524	1647	974	1325	1693	929	950	2252	2030	2453	3777	3575	4549	5353	6958	4683	743	866	2092	1662	1712
CBX5	9653	17802	15281	30539	6891	5559	5433	6012	3661	4407	6066	3734	3464	7298	6784	8506	11556	14234	18242	14392	18067	20145	2889	2420	3961	4150	4870
CCDC102B	4	99	87	155	82	91	146	272	169	195	599	320	345	426	235	266	297	522	215	425	197	491	15	45	80	10	57
CCDC121	31	63	94	231	54	41	42	35	31	31	42	28	31	92	64	64	52	93	126	91	155	112	13	33	95	39	27
CCDC14	1523	2464	2583	5047	1458	1244	1021	1266	794	832	1298	789	777	1453	1137	1061	1238	1469	2284	2409	3416	2255	381	547	1391	541	1783
CCDC33	0	28	81	131	0	0	0	0	3	0	4	3	0	1	2	0	1	7	17	13	39	4	0	1	0	0	0
CCL15	0	29	28	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0
CCL2	24	7	5	24	51	51	25	159	132	97	533	245	220	1075	1432	2578	812	433	175	655	280	174	257	335	2296	2676	578
CCN3	10	9	12	15	26	8	6	43	69	58	831	366	321	1984	1291	2114	1161	1810	122	91	18	98	376	28	1166	1095	129
CCNL1	585	1664	1079	2350	952	765	739	745	545	676	880	438	547	2390	1532	1865	1820	1624	1737	1996	1886	1864	615	754	1322	2156	1548
CCSER1	84	657	1036	697	6	9	5	18	8	4	8	5	5	0	2	4	13	49	148	4	5	18	1	0	53	0	0
CD93	1	16	11	15	29	33	63	7	5	15	2	1	3	39	13	25	48	103	48	9	14	13	0	0	1	0	3
CDK2	476	1364	1153	2031	1684	1326	981	935	602	543	993	636	602	794	725	1061	1104	1093	1401	1189	1727	1548	299	287	12706	296	628
CDK4	1445	3117	2880	5658	1538	1347	965	1236	966	1030	1339	738	816	2260	1909	2446	2980	2881	4365	2697	3327	3588	792	1497	2145	1108	1400
CDK5RAP2	1160	2776	2474	5551	1588	1009	972	1139	682	860	1435	929	870	1612	1527	1784	1882	2108	3954	2985	4649	2925	843	957	2798	1079	1161
CDK5RAP3	1020	2508	2510	4420	1379	1245	885	1107	850	993	1319	722	814	2172	1818	1759	2102	2203	2732	3378	4057	2720	859	1079	2492	992	1232
CDKN2C	0	16	22	40	64	50	35	58	42	42	105	70	86	110	132	90	87	139	39	41	83	68	481	179	161	88	265
CDON	637	2720	2547	3676	443	423	308	414	216	287	328	192	271	762	605	598	912	1668	2930	2531	1441	1618	548	711	1344	142	80
CDV3	3108	3536	3204	5946	3980	3644	3056	3081	2286	2634	3039	1837	1721	5732	5408	7506	7037	6920	6140	7107	5790	5355	2390	3306	5556	4970	5411
CELF2	569	4395	3825	3724	1603	838	724	737	351	439	1346	746	890	1103	938	1354	773	775	2163	2737	3031	1999	5239	6752	4829	1082	223
CELF2-AS1	23	304	204	117	45	15	28	14	2	16	36	25	39	27	11	15	20	9	47	67	73	45	129	146	118	6	7
CELF2-AS2	11	345	320	120	48	17	49	19	20	11	43	18	43	25	22	26	19	19	80	151	126	55	103	87	71	17	10
CEMIP2	1930	2607	1624	1913	10242	8285	6119	4657	2608	3206	2287	1331	1214	2506	2361	3628	4727	2934	4132	5113	8470	5497	7944	16368	3904	2818	4099
CEP128	324	710	614	1299	374	217	293	204	117	130	209	140	140	149	148	180	343	293	524	497	889	480	106	49	449	108	368
CEP55	419	669	727	2509	499	359	369	290	138	167	306	227	164	221	274	286	369	446	460	544	760	494	340	135	546	167	745
CEP78	1154	2076	2035	3811	1183	1034	989	971	585	760	930	567	497	814	669	759	1049	1396	1995	1567	2204	1907	470	674	1156	636	1120
CEP85L	416	1615	1378	1680	849	654	528	658	371	436	773	447	512	1192	951	1220	1105	1383	2118	2101	2979	1953	871	893	961	422	1123
CEP95	419	665	644	1373	406	364	288	374	264	290	401	283	285	733	649	751	744	811	1073	1131	1361	899	221	320	604	157	379
CFI	0	1	1	0	275	175	155	1198	737	848	1724	1138	1094	1909	1447	1829	4145	1413	46	795	144	1109	735	205	29	127	39
CHAMP1	384	802	666	1275	415	370	263	286	183	259	263	160	158	389	344	411	448	658	863	873	1412	713	458	627	556	341	353
CHCHD2	832	1448	1304	3163	898	823	622	763	739	676	797	540	465	2553	2485	2770	2925	1749	1298	2804	3263	2142	1924	2530	3611	3045	3965
CHD1L	1007	1556	1401	2838	808	807	611	777	539	659	804	463	488	1273	1136	1492	1242	1437	1523	1230	1530	1527	685	759	1869	1076	1452
CHD7	2396	8275	6922	14937	4317	2743	2147	2658	1503	1634	3377	1727	2067	1279	920	1313	1570	2224	6006	5638	7947	3277	1601	1911	1695	271	448
CHD9	1222	4629	4116	6538	4619	3773	3353	4360	2665	3343	5228	3324	3609	8412	6274	8275	9681	9910	8931	7788	7300	10318	2278	2642	4417	2999	3849
CHN2	50	427	360	524	39	11	30	19	16	26	17	10	7	65	55	61	84	76	268	199	308	178	6	0	21	60	1
CHPT1	182	358	441	731	140	166	102	172	149	165	164	125	144	418	440	556	371	318	350	267	287	204	628	650	1815	500	399
CHRFAM7A	28	232	223	120	65	40	54	40	29	18	61	41	28	34	30	42	32	84	139	103	126	53	1	4	9	8	12
CHRNA7	128	714	674	531	224	160	185	167	101	134	142	95	80	80	41	39	45	314	475	304	385	164	3	2	9	1	12
CHSY1	1660	2562	1788	2532	5089	3516	2468	2719	1957	1948	2885	1753	1692	5786	5238	6046	7358	7174	5567	4543	3258	4988	2882	3456	3762	2059	2736
CIITA	101	28	68	116	124	89	71	108	53	73	170	147	171	814	1001	1364	316	187	136	144	185	99	564	79	352	163	200
CITED2	652	2950	2194	3095	1154	1111	1133	913	845	923	1270	576	505	759	568	490	519	664	1141	653	473	824	291	219	427	3689	2105
CKAP2	1461	2587	2224	6343	1266	1189	1018	1001	571	690	947	719	642	728	684	842	1163	1433	1966	3057	4476	1947	797	961	1270	557	1256
CLCN3	1198	1836	1926	3364	1738	1638	1329	1856	1200	1313	2423	1395	1621	3143	3029	3484	2490	2677	3289	2250	2811	2249	3018	4170	9217	2449	1432
CLGN	116	582	581	1372	92	95	63	44	33	26	57	34	31	14	25	43	25	38	124	99	207	60	120	14	123	11	3
CLIP4	1	270	249	267	517	514	409	663	360	469	792	590	631	1295	1145	1722	1010	920	978	852	1139	838	1515	2135	1604	1814	952
